resp	var1	var2
42	17.2	9.1
58	17.2	13.6
81	17.2	14.5
86	19.6	19.1
35	8	8.2
72	18.4	12.7
42	14.4	7.3
25	8.8	10.9
36	17.6	10.9
48	12	9.1
29	12.4	9.1
54	18	14.5
49	18	11.8
52	12	15.5
28	16.4	10
34	16	7.3
51	5.6	10
81	16.8	17.3
80	16.4	15.5
41	13.6	10.9
77	16.4	12.7
32	8	10
40	6.4	6.4
73	17.2	11.8
46	10.8	12.7
89	20	18.2
87	18.8	11.8
38	13.2	12.7
49	12.8	10.9
36	12.8	12.7
93	18	19.1
31	2.4	4.5
74	16	16.4
60	13.2	11.8
65	18.4	11.8
77	16	12.7
40	15.6	10.9
43	11.6	10
28	7.6	11.8
57	17.6	14.5
35	14.4	6.4
48	12	12.7
65	14.4	10.9
41	5.6	10
61	18.4	11.8
64	15.6	14.5
63	14	11.8
84	19.2	17.3
63	14.8	11.8
78	17.6	14.5
76	16.8	14.5
49	17.2	8.2
45	11.6	6.4
55	13.6	13.6
47	17.6	9.1
36	12.4	13.6
72	18	15.5
35	14	4.5
42	14.4	12.7
70	17.6	13.6
60	16	9.1
44	14.8	9.1
91	19.6	20
53	13.6	6.4
67	17.2	14.5
58	14	13.6
81	16.8	15.5
52	14.4	6.4
47	16	9.1
42	13.6	6.4
32	9.6	13.6
42	11.2	13.6
61	14	10
87	18	18.2
46	13.6	10
54	14.8	10.9
72	17.2	15.5
11	2.4	5.5
73	18.4	14.5
71	15.2	15.5
53	14.8	10.9
72	16	14.5
58	13.6	15.5
58	18.4	15.5
27	11.6	7.3
42	11.6	7.3
62	18	13.6
23	6.4	8.2
30	10	10
62	16.4	11.8
51	9.2	12.7
70	18	14.5
83	18	20
76	17.2	17.3
77	19.6	18.2
36	12.4	8.2
75	18.8	17.3
25	12.8	6.4
56	16	10
20	5.6	3.6
72	16.4	16.4
42	17.6	10.9
53	14.8	10.9
41	5.2	4.5
48	15.2	10.9
24	2.8	14.5
32	10.8	7.3
60	16	12.7
38	18.4	10
25	0	5.5
27	2.4	5.5
47	13.6	10
28	3.6	11.8
41	12.4	4.5
46	10.8	11.8
57	9.2	10.9
30	6.4	6.4
63	19.2	11.8
46	16.4	13.6
54	12	13.6
39	17.2	12.7
72	18	16.4
63	16	13.6
38	6	5.5
33	12	5.5
42	9.6	9.1
75	18.4	15.5
56	14	8.2
85	18.4	20
44	10.8	7.3
44	16.4	10
18	2	3.6
20	7.2	6.4
55	16	13.6
24	10.8	9.1
42	10.8	10
69	17.6	12.7
74	16.4	14.5
30	13.2	6.4
48	12.4	16.4
53	15.6	11.8
48	14.4	8.2
76	8.8	10.9
60	18	13.6
89	17.6	16.4
61	15.6	13.6
